extra,missing,reverse,fdr,tpr,fpr,shd,nnz,precision,recall,F1,gscore,iter_num,time,exist_mode
15,39,22,0.6167,0.2738,0.0354,76,60,0.3833,0.2738,0.3194,0.0,1,341.4179,edge
18,37,20,0.5846,0.3214,0.0364,75,65,0.4154,0.3214,0.3624,0.0,2,332.6394,edge
19,39,22,0.6406,0.2738,0.0393,80,64,0.3594,0.2738,0.3108,0.0,3,347.7886,edge
26,44,23,0.7424,0.2024,0.0469,93,66,0.2576,0.2024,0.2267,0.0,4,339.4866,edge
22,41,20,0.6462,0.2738,0.0402,83,65,0.3538,0.2738,0.3087,0.0,5,345.2707,edge
19,40,21,0.6349,0.2738,0.0383,80,63,0.3651,0.2738,0.3129,0.0,6,342.7952,edge
