extra,missing,reverse,fdr,tpr,fpr,shd,nnz,precision,recall,F1,gscore,iter_num,time,exist_mode
2,4,1,0.5,0.375,0.15,7,6,0.5,0.375,0.4286,0.0,1,0.0067,edge
2,4,0,0.3333,0.5,0.1,6,6,0.6667,0.5,0.5714,0.25,2,0.0068,edge
3,3,0,0.375,0.625,0.15,6,8,0.625,0.625,0.625,0.25,3,0.0179,edge
4,3,2,0.6667,0.375,0.3,9,9,0.3333,0.375,0.3529,0.0,4,0.0068,edge
4,3,0,0.4444,0.625,0.2,7,9,0.5556,0.625,0.5882,0.125,5,0.0069,edge
4,3,0,0.4444,0.625,0.2,7,9,0.5556,0.625,0.5882,0.125,6,0.0075,edge
