extra,missing,reverse,fdr,tpr,fpr,shd,nnz,precision,recall,F1,gscore,iter_num,time,exist_mode
17,16,21,0.8085,0.1957,0.0692,54,47,0.1915,0.1957,0.1935,0.0,1,73.6678,edge
19,16,21,0.8163,0.1957,0.0729,56,49,0.1837,0.1957,0.1895,0.0,2,73.7632,edge
17,17,22,0.8478,0.1522,0.071,56,46,0.1522,0.1522,0.1522,0.0,3,74.0151,edge
13,16,17,0.6977,0.2826,0.0546,46,43,0.3023,0.2826,0.2921,0.0,4,73.5337,edge
16,15,21,0.7872,0.2174,0.0674,52,47,0.2128,0.2174,0.2151,0.0,5,73.4157,edge
14,17,15,0.6744,0.3043,0.0528,46,43,0.3256,0.3043,0.3146,0.0,6,73.5759,edge
13,14,21,0.7556,0.2391,0.0619,48,45,0.2444,0.2391,0.2418,0.0,7,74.9376,edge
