extra,missing,reverse,fdr,tpr,fpr,shd,nnz,precision,recall,F1,gscore,iter_num,time,exist_mode
21,42,27,0.7619,0.1786,0.046,90,63,0.2381,0.1786,0.2041,0.0,1,338.7894,edge
16,37,22,0.6032,0.2976,0.0364,75,63,0.3968,0.2976,0.3401,0.0,2,337.5514,edge
18,40,24,0.6774,0.2381,0.0402,82,62,0.3226,0.2381,0.274,0.0,3,337.1434,edge
21,43,19,0.6452,0.2619,0.0383,83,62,0.3548,0.2619,0.3014,0.0,4,340.8841,edge
17,39,17,0.5484,0.3333,0.0326,73,62,0.4516,0.3333,0.3836,0.0,5,336.774,edge
17,39,18,0.5645,0.3214,0.0335,74,62,0.4355,0.3214,0.3699,0.0,6,331.0683,edge
