extra,missing,reverse,fdr,tpr,fpr,shd,nnz,precision,recall,F1,gscore,iter_num,time,exist_mode
12,15,13,0.5814,0.3913,0.0455,40,43,0.4186,0.3913,0.4045,0.0,1,1.0369,edge
6,11,4,0.2439,0.6739,0.0182,21,41,0.7561,0.6739,0.7126,0.4565,2,1.0539,edge
11,13,7,0.4091,0.5652,0.0328,31,44,0.5909,0.5652,0.5778,0.1739,3,1.0351,edge
6,12,3,0.225,0.6739,0.0164,21,40,0.775,0.6739,0.7209,0.4783,4,0.9541,edge
