extra,missing,reverse,fdr,tpr,fpr,shd,nnz,precision,recall,F1,gscore,iter_num,time,exist_mode
15,43,12,0.4821,0.3452,0.0259,70,56,0.5179,0.3452,0.4143,0.0238,1,7.0857,edge
15,43,10,0.4464,0.369,0.0239,68,56,0.5536,0.369,0.4429,0.0714,2,6.738,edge
