extra,missing,reverse,fdr,tpr,fpr,shd,nnz,precision,recall,F1,gscore,iter_num,time,exist_mode
5,3,1,0.125,0.913,0.0097,9,48,0.875,0.913,0.8936,0.7826,1,33.2986,edge
3,3,1,0.087,0.913,0.0065,7,46,0.913,0.913,0.913,0.8261,2,20.0456,edge
2,3,1,0.0667,0.913,0.0048,6,45,0.9333,0.913,0.9231,0.8478,3,16.5684,edge
2,3,0,0.0444,0.9348,0.0032,5,45,0.9556,0.9348,0.9451,0.8913,4,14.778,edge
