extra,missing,reverse,fdr,tpr,fpr,shd,nnz,precision,recall,F1,gscore,iter_num,time,exist_mode
8,29,4,0.3871,0.3654,0.0401,41,31,0.6129,0.3654,0.4578,0.1346,1,1.0485,edge
5,28,5,0.3448,0.3654,0.0334,38,29,0.6552,0.3654,0.4691,0.1731,2,0.8833,edge
6,27,0,0.1935,0.4808,0.0201,33,31,0.8065,0.4808,0.6024,0.3654,3,0.9917,edge
6,28,1,0.2333,0.4423,0.0234,35,30,0.7667,0.4423,0.561,0.3077,4,0.9511,edge
6,27,0,0.1935,0.4808,0.0201,33,31,0.8065,0.4808,0.6024,0.3654,5,0.9073,edge
