extra,missing,reverse,fdr,tpr,fpr,shd,nnz,precision,recall,F1,gscore,iter_num,time,exist_mode
4,25,9,0.2063,0.5952,0.0125,38,63,0.7937,0.5952,0.6803,0.4405,1,24.4916,edge
3,25,6,0.1452,0.631,0.0086,34,62,0.8548,0.631,0.726,0.5238,2,24.3116,edge
2,24,5,0.1129,0.6548,0.0067,31,62,0.8871,0.6548,0.7534,0.5714,3,23.9965,edge
