extra,missing,reverse,fdr,tpr,fpr,shd,nnz,precision,recall,F1,gscore,iter_num,time,exist_mode
18,40,22,0.6452,0.2619,0.0383,80,62,0.3548,0.2619,0.3014,0.0,1,338.4785,edge
15,38,23,0.623,0.2738,0.0364,76,61,0.377,0.2738,0.3172,0.0,2,342.126,edge
15,39,19,0.5667,0.3095,0.0326,73,60,0.4333,0.3095,0.3611,0.0,3,346.4845,edge
19,37,27,0.697,0.2381,0.0441,83,66,0.303,0.2381,0.2667,0.0,4,333.8036,edge
15,38,26,0.6721,0.2381,0.0393,79,61,0.3279,0.2381,0.2759,0.0,5,336.4667,edge
14,40,15,0.5,0.3452,0.0278,69,58,0.5,0.3452,0.4085,0.0,6,341.0927,edge
16,40,16,0.5333,0.3333,0.0307,72,60,0.4667,0.3333,0.3889,0.0,7,349.0319,edge
