extra,missing,reverse,fdr,tpr,fpr,shd,nnz,precision,recall,F1,gscore,iter_num,time,exist_mode
1,9,3,0.0909,0.7692,0.0134,13,44,0.9091,0.7692,0.8333,0.6923,1,21.3638,edge
0,9,4,0.093,0.75,0.0134,13,43,0.907,0.75,0.8211,0.6731,2,9.9981,edge
0,9,3,0.0698,0.7692,0.01,12,43,0.9302,0.7692,0.8421,0.7115,3,7.6035,edge
