extra,missing,reverse,fdr,tpr,fpr,shd,nnz,precision,recall,F1,gscore,iter_num,time,exist_mode
2,2,3,0.625,0.375,0.25,7,8,0.375,0.375,0.375,0.0,1,0.0087,edge
2,2,0,0.25,0.75,0.1,4,8,0.75,0.75,0.75,0.5,2,0.0149,edge
2,1,0,0.2222,0.875,0.1,3,9,0.7778,0.875,0.8235,0.625,3,0.0124,edge
