extra,missing,reverse,fdr,tpr,fpr,shd,nnz,precision,recall,F1,gscore,iter_num,time,exist_mode
5,7,6,0.4783,0.48,0.0667,18,23,0.5217,0.48,0.5,0.04,1,0.1309,edge
2,6,2,0.1905,0.68,0.0242,10,21,0.8095,0.68,0.7391,0.52,2,0.2535,edge
3,6,0,0.1364,0.76,0.0182,9,22,0.8636,0.76,0.8085,0.64,3,0.7459,edge
