extra,missing,reverse,fdr,tpr,fpr,shd,nnz,precision,recall,F1,gscore,iter_num,time,exist_mode
3,8,6,0.2195,0.6957,0.0164,17,41,0.7805,0.6957,0.7356,0.5,1,7.7195,edge
3,4,6,0.2,0.7826,0.0164,13,45,0.8,0.7826,0.7912,0.587,2,5.7495,edge
4,4,6,0.2174,0.7826,0.0182,14,46,0.7826,0.7826,0.7826,0.5652,3,4.9845,edge
2,3,2,0.0889,0.8913,0.0073,7,45,0.9111,0.8913,0.9011,0.8043,4,4.3319,edge
