extra,missing,reverse,fdr,tpr,fpr,shd,nnz,precision,recall,F1,gscore,iter_num,time,exist_mode
23,36,22,0.6338,0.3095,0.0431,81,71,0.3662,0.3095,0.3355,0.0,1,304.5108,edge
25,32,24,0.6364,0.3333,0.0469,81,77,0.3636,0.3333,0.3478,0.0,2,311.478,edge
24,33,21,0.6,0.3571,0.0431,78,75,0.4,0.3571,0.3774,0.0,3,309.1447,edge
24,32,27,0.6711,0.2976,0.0489,83,76,0.3289,0.2976,0.3125,0.0,4,309.5428,edge
24,36,26,0.6944,0.2619,0.0479,86,72,0.3056,0.2619,0.2821,0.0,5,317.4033,edge
17,31,13,0.4286,0.4762,0.0287,61,70,0.5714,0.4762,0.5195,0.119,6,312.2646,edge
