extra,missing,reverse,fdr,tpr,fpr,shd,nnz,precision,recall,F1,gscore,iter_num,time,exist_mode
3,45,6,0.375,0.2273,0.0209,54,24,0.625,0.2273,0.3333,0.0909,1,273.9363,edge
0,41,2,0.08,0.3485,0.0047,43,25,0.92,0.3485,0.5055,0.3182,2,230.91,edge
0,41,3,0.12,0.3333,0.007,44,25,0.88,0.3333,0.4835,0.2879,3,246.9876,edge
