extra,missing,reverse,fdr,tpr,fpr,shd,nnz,precision,recall,F1,gscore,iter_num,time,exist_mode
1,4,2,0.1364,0.76,0.0182,7,22,0.8636,0.76,0.8085,0.64,1,9.3964,edge
1,5,0,0.0476,0.8,0.0061,6,21,0.9524,0.8,0.8696,0.76,2,8.2508,edge
