extra,missing,reverse,fdr,tpr,fpr,shd,nnz,precision,recall,F1,gscore,iter_num,time,exist_mode
3,42,14,0.6296,0.1515,0.0395,59,27,0.3704,0.1515,0.2151,0.0,1,87.3047,edge
2,40,6,0.2857,0.303,0.0186,48,28,0.7143,0.303,0.4255,0.1818,2,83.5077,edge
0,41,5,0.2,0.303,0.0116,46,25,0.8,0.303,0.4396,0.2273,3,88.6604,edge
