extra,missing,reverse,fdr,tpr,fpr,shd,nnz,precision,recall,F1,gscore,iter_num,time,exist_mode
15,5,16,0.5536,0.5435,0.05,36,56,0.4464,0.5435,0.4902,0.0,1,10.7259,edge
9,4,11,0.3922,0.6739,0.0323,24,51,0.6078,0.6739,0.6392,0.2391,2,3.9526,edge
9,2,8,0.3208,0.7826,0.0274,19,53,0.6792,0.7826,0.7273,0.413,3,3.886,edge
6,2,7,0.26,0.8043,0.021,15,50,0.74,0.8043,0.7708,0.5217,4,4.4546,edge
