extra,missing,reverse,fdr,tpr,fpr,shd,nnz,precision,recall,F1,gscore,iter_num,time,exist_mode
7,35,7,0.25,0.5,0.0134,49,56,0.75,0.5,0.6,0.3333,1,16.2062,edge
7,35,6,0.2321,0.5119,0.0125,48,56,0.7679,0.5119,0.6143,0.3571,2,15.4422,edge
