extra,missing,reverse,fdr,tpr,fpr,shd,nnz,precision,recall,F1,gscore,iter_num,time,exist_mode
18,12,17,0.6731,0.3696,0.0638,47,52,0.3269,0.3696,0.3469,0.0,1,2.3253,edge
9,10,8,0.3778,0.6087,0.031,27,45,0.6222,0.6087,0.6154,0.2391,2,2.0741,edge
7,10,6,0.3023,0.6522,0.0237,23,43,0.6977,0.6522,0.6742,0.3696,3,2.0935,edge
