extra,missing,reverse,fdr,tpr,fpr,shd,nnz,precision,recall,F1,gscore,iter_num,time,exist_mode
18,16,23,0.8542,0.1522,0.0747,57,48,0.1458,0.1522,0.1489,0.0,1,75.8728,edge
15,14,17,0.6809,0.3261,0.0583,46,47,0.3191,0.3261,0.3226,0.0,2,75.9227,edge
14,13,21,0.7447,0.2609,0.0638,48,47,0.2553,0.2609,0.2581,0.0,3,76.5184,edge
14,14,16,0.6522,0.3478,0.0546,44,46,0.3478,0.3478,0.3478,0.0,4,74.3946,edge
16,15,19,0.7447,0.2609,0.0638,50,47,0.2553,0.2609,0.2581,0.0,5,75.5163,edge
14,13,18,0.6809,0.3261,0.0583,45,47,0.3191,0.3261,0.3226,0.0,6,76.2289,edge
