extra,missing,reverse,fdr,tpr,fpr,shd,nnz,precision,recall,F1,gscore,iter_num,time,exist_mode
9,4,17,0.5098,0.5435,0.0419,30,51,0.4902,0.5435,0.5155,0.0,1,6.6263,edge
9,2,1,0.1887,0.9348,0.0161,12,53,0.8113,0.9348,0.8687,0.7174,2,2.2924,edge
3,2,0,0.0638,0.9565,0.0048,5,47,0.9362,0.9565,0.9462,0.8913,3,2.092,edge
2,2,0,0.0435,0.9565,0.0032,4,46,0.9565,0.9565,0.9565,0.913,4,1.7634,edge
