extra,missing,reverse,fdr,tpr,fpr,shd,nnz,precision,recall,F1,gscore,iter_num,time,exist_mode
2,10,4,0.1364,0.7308,0.0201,16,44,0.8636,0.7308,0.7917,0.6154,1,16.2895,edge
3,11,2,0.1136,0.75,0.0167,16,44,0.8864,0.75,0.8125,0.6538,2,9.0921,edge
2,11,4,0.1395,0.7115,0.0201,17,43,0.8605,0.7115,0.7789,0.5962,3,6.475,edge
