extra,missing,reverse,fdr,tpr,fpr,shd,nnz,precision,recall,F1,gscore,iter_num,time,exist_mode
17,37,22,0.6094,0.2976,0.0374,76,64,0.3906,0.2976,0.3378,0.0,1,368.527,edge
16,41,18,0.5763,0.2976,0.0326,75,59,0.4237,0.2976,0.3497,0.0,2,360.1346,edge
16,37,20,0.5714,0.3214,0.0345,73,63,0.4286,0.3214,0.3673,0.0,3,367.1045,edge
20,41,27,0.746,0.1905,0.045,88,63,0.254,0.1905,0.2177,0.0,4,357.5531,edge
11,37,10,0.3621,0.4405,0.0201,58,58,0.6379,0.4405,0.5211,0.1905,5,370.8425,edge
15,36,18,0.5238,0.3571,0.0316,69,63,0.4762,0.3571,0.4082,0.0,6,362.8024,edge
