extra,missing,reverse,fdr,tpr,fpr,shd,nnz,precision,recall,F1,gscore,iter_num,time,exist_mode
3,39,4,0.2333,0.3485,0.0163,46,30,0.7667,0.3485,0.4792,0.2424,1,279.3463,edge
1,38,7,0.2759,0.3182,0.0186,46,29,0.7241,0.3182,0.4421,0.197,2,266.5885,edge
1,38,6,0.2414,0.3333,0.0163,45,29,0.7586,0.3333,0.4632,0.2273,3,253.5544,edge
0,37,5,0.1724,0.3636,0.0116,42,29,0.8276,0.3636,0.5053,0.2879,4,243.3137,edge
0,37,8,0.2759,0.3182,0.0186,45,29,0.7241,0.3182,0.4421,0.197,5,244.3938,edge
0,37,5,0.1724,0.3636,0.0116,42,29,0.8276,0.3636,0.5053,0.2879,6,225.7337,edge
