extra,missing,reverse,fdr,tpr,fpr,shd,nnz,precision,recall,F1,gscore,iter_num,time,exist_mode
16,12,22,0.76,0.2609,0.0692,50,50,0.24,0.2609,0.25,0.0,1,74.5421,edge
18,16,17,0.7292,0.2826,0.0638,51,48,0.2708,0.2826,0.2766,0.0,2,74.2484,edge
21,17,20,0.82,0.1957,0.0747,58,50,0.18,0.1957,0.1875,0.0,3,74.3706,edge
15,15,21,0.7826,0.2174,0.0656,51,46,0.2174,0.2174,0.2174,0.0,4,73.8622,edge
17,17,18,0.7609,0.2391,0.0638,52,46,0.2391,0.2391,0.2391,0.0,5,73.5182,edge
14,15,18,0.7111,0.2826,0.0583,47,45,0.2889,0.2826,0.2857,0.0,6,75.0656,edge
