extra,missing,reverse,fdr,tpr,fpr,shd,nnz,precision,recall,F1,gscore,iter_num,time,exist_mode
2,5,4,0.2727,0.64,0.0364,11,22,0.7273,0.64,0.6809,0.4,1,2.5738,edge
2,6,2,0.1905,0.68,0.0242,10,21,0.8095,0.68,0.7391,0.52,2,2.8406,edge
2,6,2,0.1905,0.68,0.0242,10,21,0.8095,0.68,0.7391,0.52,3,1.5946,edge
2,5,2,0.1818,0.72,0.0242,9,22,0.8182,0.72,0.766,0.56,4,0.946,edge
2,5,2,0.1818,0.72,0.0242,9,22,0.8182,0.72,0.766,0.56,5,0.7002,edge
2,5,1,0.1364,0.76,0.0182,8,22,0.8636,0.76,0.8085,0.64,6,0.5036,edge
