extra,missing,reverse,fdr,tpr,fpr,shd,nnz,precision,recall,F1,gscore,iter_num,time,exist_mode
1,1,3,0.5,0.5,0.2,5,8,0.5,0.5,0.5,0.0,1,0.099,edge
0,1,0,0.0,0.875,0.0,1,7,1.0,0.875,0.9333,0.875,2,0.0155,edge
