extra,missing,reverse,fdr,tpr,fpr,shd,nnz,precision,recall,F1,gscore,iter_num,time,exist_mode
9,32,6,0.2459,0.5476,0.0144,47,61,0.7541,0.5476,0.6345,0.369,1,10.8205,edge
9,32,7,0.2623,0.5357,0.0153,48,61,0.7377,0.5357,0.6207,0.3452,2,10.1302,edge
9,32,5,0.2295,0.5595,0.0134,46,61,0.7705,0.5595,0.6483,0.3929,3,10.242,edge
