extra,missing,reverse,fdr,tpr,fpr,shd,nnz,precision,recall,F1,gscore,iter_num,time,exist_mode
27,9,24,0.7969,0.2826,0.0929,60,64,0.2031,0.2826,0.2364,0.0,1,86.868,edge
26,10,20,0.7419,0.3478,0.0838,56,62,0.2581,0.3478,0.2963,0.0,2,85.6484,edge
24,9,21,0.7377,0.3478,0.082,54,61,0.2623,0.3478,0.2991,0.0,3,88.0548,edge
25,10,22,0.7705,0.3043,0.0856,57,61,0.2295,0.3043,0.2617,0.0,4,87.0613,edge
24,10,18,0.7,0.3913,0.0765,52,60,0.3,0.3913,0.3396,0.0,5,86.013,edge
26,8,23,0.7656,0.3261,0.0893,57,64,0.2344,0.3261,0.2727,0.0,6,85.5778,edge
26,8,24,0.7812,0.3043,0.0911,58,64,0.2188,0.3043,0.2545,0.0,7,86.9833,edge
