level_0,level_1,direct_edges,reversed_edges,indirect_paths,reversed_indirect_paths,no_connections,common_parents,common_childs
A,alarm,0.3333333333333333,0.015151515151515152,0.2803030303030303,0.0,0.3712121212121212,0.0,0.05303030303030303
A,asia,0.4444444444444444,0.0,0.5,0.0,0.05555555555555555,0.0,0.0
A,insurance,0.41025641025641024,0.05128205128205128,0.3247863247863248,0.05982905982905983,0.15384615384615385,0.0,0.042735042735042736
A,mildew,0.45454545454545453,0.04040404040404041,0.36363636363636365,0.030303030303030304,0.1111111111111111,0.0,0.06060606060606061
A,child,0.46296296296296297,0.018518518518518517,0.25925925925925924,0.037037037037037035,0.2222222222222222,0.0,0.037037037037037035
A,cancer,0.36363636363636365,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.0,0.0
A,water,0.4690265486725664,0.13274336283185842,0.10619469026548672,0.008849557522123894,0.2831858407079646,0.0,0.0
A,barley,0.21782178217821782,0.12376237623762376,0.23267326732673269,0.1188118811881188,0.3069306930693069,0.0,0.10891089108910891
B,alarm,0.01639344262295082,0.36065573770491804,0.09836065573770492,0.18032786885245902,0.3442622950819672,0.0,0.04918032786885246
B,asia,0.0,0.5,0.0,0.35714285714285715,0.14285714285714285,0.0,0.0
B,insurance,0.024390243902439025,0.5853658536585366,0.024390243902439025,0.0975609756097561,0.2682926829268293,0.0,0.04878048780487805
B,mildew,0.014492753623188406,0.4927536231884058,0.0,0.14492753623188406,0.34782608695652173,0.0,0.10144927536231885
B,child,0.0,0.45454545454545453,0.24242424242424243,0.12121212121212122,0.18181818181818182,0.0,0.0
B,cancer,0.0,0.6,0.0,0.0,0.4,0.0,0.2
B,water,0.02857142857142857,0.5142857142857142,0.2857142857142857,0.02857142857142857,0.14285714285714285,0.0,0.0
B,barley,0.023809523809523808,0.21428571428571427,0.08333333333333333,0.42857142857142855,0.25,0.0,0.08333333333333333
C,alarm,0.0,0.0,0.0,0.03296703296703297,0.967032967032967,0.0,0.06593406593406594
C,asia,0.0,0.0,0.0,0.0,1.0,0.0,0.25
C,insurance,0.025,0.05,0.0,0.1,0.825,0.0,0.125
C,mildew,0.0,0.007518796992481203,0.3157894736842105,0.3609022556390977,0.3157894736842105,0.0,0.16541353383458646
C,child,0.0,0.10526315789473684,0.0,0.10526315789473684,0.7894736842105263,0.0,0.0
C,cancer,inf,inf,inf,inf,inf,inf,inf
C,water,0.0,0.044444444444444446,0.3,0.18888888888888888,0.4666666666666667,0.0,0.18888888888888888
C,barley,inf,inf,inf,inf,inf,inf,inf
