,alarm-1000,alarm-4000,asia-1000,asia-250,barley-2000,barley-8000,cancer-1000,cancer-250,child-2000,child-500,insurance-2000,insurance-500,mildew-32000,mildew-8000,water-1000,water-4000
exist prior num,4.0,2.0,2.6667,3.8,1.25,4.5,1.5,2.0,2.8333,6.3333,3.1667,2.6667,15.6667,4.5,3.5,2.6667
exist prior std,1.6733,1.8974,1.8619,2.5884,0.5,0.8367,0.7071,0.0,0.7528,3.2042,1.6021,1.8619,3.0111,1.2247,1.5166,1.5055
wrong exist num,0.8333,0.1667,0.3333,1.6,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,3.3333,0.0,0.6667,0.0
forb prior num,11.6667,6.6667,0.6667,3.6,0.0,0.0,0.0,0.0,1.3333,3.3333,6.6667,7.0,21.6667,5.6667,11.0,4.0
forb prior std,5.8538,5.6095,1.633,1.6733,0.0,0.0,0.0,0.0,1.0328,1.0328,3.7238,2.4495,11.3431,2.6583,7.2388,1.7889
wrong forb num,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.8333,0.0,0.0,0.1667,0.1667
