,alarm-1000,alarm-4000,asia-1000,asia-250,barley-2000,barley-8000,cancer-1000,cancer-250,child-2000,child-500,insurance-2000,insurance-500,mildew-32000,mildew-8000,water-1000,water-4000
exist prior num,5.5,4.5,1.8333,2.6667,18.5,21.1667,1.1667,1.0,1.6667,1.8333,12.8333,9.1667,41.6667,30.5,7.5,8.0
exist prior std,2.2583,2.5884,1.169,1.633,3.5071,4.9565,0.4082,,0.8165,0.4082,1.472,1.169,2.7325,2.429,1.5166,1.2649
wrong exist num,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forb prior num,7.3333,4.6667,0.3333,1.0,0.0,0.6667,0.0,0.0,2.0,1.3333,4.3333,5.0,68.0,46.0,14.6667,12.0
forb prior std,4.5019,2.0656,0.8165,1.6733,0.0,1.0328,0.0,,0.0,1.0328,0.8165,1.6733,10.3537,4.1952,5.164,5.2154
wrong forb num,7.3333,4.6667,0.3333,1.0,0.0,0.6667,0.0,0.0,2.0,1.3333,4.3333,5.0,68.0,46.0,14.6667,12.0
