LLM,alarm-1000,alarm-4000,asia-1000,asia-250,barley-2000,barley-8000,cancer-1000,cancer-250,child-2000,child-500,insurance-2000,insurance-500,mildew-32000,mildew-8000,water-1000,water-4000
base,0.6486,0.6413,0.2292,0.5625,0.7976,0.6508,0.3333,0.5833,0.4867,0.5667,0.6827,0.6891,0.9928,0.7935,0.7626,0.6439
base std,0.1202,0.094,0.1661,0.271,0.0648,0.0582,0.2582,0.1291,0.1832,0.1224,0.0883,0.0625,0.071,0.1063,0.0669,0.0795
base num,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
ILS-CSL,0.1232,0.0833,0.1458,0.4583,0.6905,0.5675,0.2917,0.5,0.1,0.24,0.3429,0.4455,0.2246,0.4638,0.6414,0.5455
ILS-CSL std,0.0225,0.0089,0.1461,0.3323,0.0616,0.0628,0.2923,0.2236,0.0219,0.0669,0.0411,0.0637,0.0177,0.0112,0.0183,0.0271
ILS-CSL num,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
