,alarm-1000,alarm-4000,asia-1000,asia-250,barley-2000,barley-8000,cancer-1000,cancer-250,child-2000,child-500,insurance-2000,insurance-500,mildew-32000,mildew-8000,water-1000,water-4000
exist prior num,16.1667,14.0,2.0,5.4,4.5,3.1667,1.5,1.5,7.6667,7.6667,12.1667,9.3333,21.3333,11.6667,3.6667,2.5
exist prior std,2.7142,2.5298,1.0,2.6077,2.1679,1.9408,0.7071,0.7071,3.1411,1.7512,2.4833,1.0328,3.0111,2.0656,1.0328,1.3784
wrong exist num,2.5,1.1667,0.3333,2.6,1.5,0.8333,0.0,0.0,0.3333,0.5,1.6667,0.3333,3.3333,1.3333,0.5,0.1667
forb prior num,10.0,7.6667,2.0,4.8,0.0,0.0,0.0,0.0,2.0,3.3333,7.3333,9.6667,33.0,8.0,10.3333,8.6667
forb prior std,7.1554,2.3381,2.0,3.8987,0.0,0.0,0.0,0.0,1.2649,1.0328,2.4221,2.6583,4.6904,1.7889,6.7429,5.6095
wrong forb num,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333,1.0,1.0,1.1667,0.0,0.0,0.1667,0.3333
