LLM,alarm-1000,alarm-4000,asia-1000,asia-250,barley-2000,barley-8000,cancer-1000,cancer-250,child-2000,child-500,insurance-2000,insurance-500,mildew-32000,mildew-8000,water-1000,water-4000
base,9.5,6.5,2.5,4.1667,47.0,33.6667,1.8333,3.0,5.3333,9.5,15.0,25.6667,21.0,22.8333,62.3333,53.6667
base std,2.6646,1.7607,0.5477,2.5626,3.0332,2.7325,1.169,0.8944,1.0328,2.0736,2.0976,2.2509,2.1909,0.7528,4.3205,3.8816
base num,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
ILS-CSL,4.3333,3.6667,1.1667,3.3333,45.6667,31.5,1.1667,2.0,1.8333,6.1667,14.6667,22.1667,26.6667,20.0,48.5,44.1667
ILS-CSL std,1.2111,0.8165,1.169,2.9439,2.0656,1.3784,1.169,0.8944,0.7528,1.472,2.9439,1.169,21.2006,0.0,2.5884,2.3166
ILS-CSL num,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
