LLM,alarm-1000,alarm-4000,asia-1000,asia-250,barley-2000,barley-8000,cancer-1000,cancer-250,child-2000,child-500,insurance-2000,insurance-500,mildew-32000,mildew-8000,water-1000,water-4000
base,0.6812,0.5906,0.3125,0.4792,0.8651,0.8016,0.625,0.9167,0.38,0.5267,0.7212,0.7628,0.9058,0.8986,0.7626,0.7045
base std,0.0508,0.0957,0.2932,0.3572,0.048,0.0847,0.3446,0.2887,0.1615,0.0734,0.0605,0.0481,0.1295,0.0578,0.0379,0.0283
base num,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
ILS-CSL,0.413,0.3478,0.2083,0.3542,0.8155,0.7401,0.4167,0.9167,0.0667,0.2733,0.4231,0.6218,0.5688,0.7101,0.6869,0.6136
ILS-CSL std,0.0412,0.1065,0.1882,0.2552,0.0351,0.0889,0.3416,0.2887,0.0484,0.0816,0.0344,0.0616,0.0214,0.0112,0.0207,0.0342
ILS-CSL num,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
