LLM,alarm-1000,alarm-4000,asia-1000,asia-250,barley-2000,barley-8000,cancer-1000,cancer-250,child-2000,child-500,insurance-2000,insurance-500,mildew-32000,mildew-8000,water-1000,water-4000
base,0.2065,0.1413,0.3125,0.5208,0.5595,0.4008,0.4583,0.75,0.2133,0.38,0.2917,0.4615,0.4565,0.4964,0.7702,0.6111
base std,0.0579,0.0383,0.0685,0.3203,0.0361,0.0325,0.2923,0.2236,0.0413,0.0829,0.0225,0.0487,0.0476,0.0164,0.0739,0.0403
base num,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
ILS-CSL,0.0942,0.0797,0.1458,0.4167,0.5437,0.375,0.2917,0.5,0.0733,0.2467,0.2821,0.4167,0.3261,0.4348,0.6768,0.5581
ILS-CSL std,0.0263,0.0177,0.1461,0.368,0.0246,0.0164,0.2923,0.2236,0.0301,0.0589,0.0566,0.0314,0.1839,0.0,0.0485,0.0223
ILS-CSL num,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
