,alarm-1000,alarm-4000,asia-1000,asia-250,barley-2000,barley-8000,cancer-1000,cancer-250,child-2000,child-500,insurance-2000,insurance-500,mildew-32000,mildew-8000,water-1000,water-4000
exist prior num,4.1667,4.1667,1.6667,2.5,18.1667,21.0,1.1667,1.0,1.6667,2.1667,13.0,10.1667,42.5,32.5,7.5,9.0
exist prior std,1.472,2.137,1.2111,1.3784,3.7639,3.5777,0.4082,,0.8165,0.7528,1.7889,0.7528,3.6194,2.0736,1.2247,1.0954
wrong exist num,0.0,0.3333,0.1667,0.3333,5.0,7.6667,0.0,0.0,0.0,0.1667,0.1667,0.3333,10.8333,4.5,0.1667,0.0
forb prior num,6.0,3.3333,0.3333,0.6667,0.0,0.0,0.0,0.0,2.0,1.3333,4.6667,4.6667,76.0,46.0,15.3333,11.0
forb prior std,3.0984,1.633,0.8165,1.633,0.0,0.0,0.0,,0.0,1.0328,1.0328,2.4221,17.3436,7.8994,6.6533,3.9497
wrong forb num,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.8333,0.0,0.0,0.3333,0.0
