,alarm-1000,alarm-4000,asia-1000,asia-250,barley-2000,barley-8000,cancer-1000,child-2000,child-500,insurance-2000,insurance-500,mildew-32000,mildew-8000,water-1000,water-4000
exist prior num,19.0,14.6667,2.5,4.5,7.6667,7.3333,1.3333,6.0,6.8333,13.0,10.0,20.0,12.3333,2.6667,2.1667
exist prior std,4.3359,3.559,1.291,1.7321,1.8619,3.266,0.5774,2.5298,1.9408,1.8974,2.1909,0.6325,2.0656,0.8165,1.169
wrong exist num,3.5,1.3333,0.75,1.75,1.1667,2.6667,0.0,0.3333,0.6667,1.6667,1.6667,4.0,0.0,0.0,0.0
forb prior num,1.3333,2.3333,1.0,2.5,0.0,0.0,0.0,1.6667,3.3333,5.6667,7.0,24.6667,18.6667,6.0,8.3333
forb prior std,1.633,1.5055,1.1547,2.5166,0.0,0.0,0.0,0.8165,1.0328,1.5055,3.0332,4.5019,1.0328,3.7947,4.274
wrong forb num,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333,1.1667,1.0,0.8333,0.0,0.0,0.0,0.0
