,alarm-1000,alarm-4000,asia-1000,asia-250,barley-2000,barley-8000,cancer-1000,cancer-250,child-2000,child-500,insurance-2000,insurance-500,mildew-32000,mildew-8000,water-1000,water-4000
exist prior num,4.0,2.0,2.6667,3.8,1.25,4.5,1.5,2.0,2.8333,6.3333,2.6667,2.8333,15.6667,4.5,3.5,2.3333
exist prior std,1.6733,1.8974,1.8619,2.5884,0.5,0.8367,0.7071,0.0,0.7528,3.2042,2.1602,2.2286,3.0111,1.2247,0.8367,0.8165
wrong exist num,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forb prior num,11.6667,6.6667,0.6667,3.6,0.0,0.0,0.0,0.0,1.3333,3.3333,7.0,8.6667,21.6667,5.6667,54.6667,23.3333
forb prior std,5.8538,5.6095,1.633,1.6733,0.0,0.0,0.0,0.0,1.0328,1.0328,3.5214,3.5024,11.3431,2.6583,9.0921,8.7331
wrong forb num,11.6667,6.6667,0.6667,3.6,0.0,0.0,0.0,0.0,1.3333,3.3333,7.0,8.6667,21.6667,5.6667,54.6667,23.3333
