LLM,alarm-1000,alarm-4000,asia-1000,asia-250,barley-2000,barley-8000,cancer-1000,cancer-250,child-2000,child-500,insurance-2000,insurance-500,mildew-32000,mildew-8000,water-1000,water-4000
base,14.8333,6.8333,2.1667,3.6667,70.6667,60.8333,2.5,4.0,4.5,8.5,52.0,52.0,33.5,34.1667,56.0,58.3333
base std,3.7639,1.8348,0.4082,1.8619,10.6145,17.9935,0.8367,0.6325,1.0488,1.5166,0.0,0.0,4.0373,0.4082,8.7864,8.5479
base num,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
ILS-CSL,14.0,6.8333,2.1667,3.1667,71.0,60.8333,2.5,4.0,4.1667,8.1667,52.0,52.0,26.1667,33.3333,54.3333,55.0
ILS-CSL std,4.0988,1.8348,0.4082,1.472,10.3344,17.9935,0.8367,0.6325,0.7528,1.3292,0.0,0.0,0.9832,0.8165,9.913,12.0499
ILS-CSL num,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
