LLM,alarm-1000,alarm-4000,asia-1000,asia-250,barley-2000,barley-8000,cancer-1000,cancer-250,child-2000,child-500,insurance-2000,insurance-500,mildew-32000,mildew-8000,water-1000,water-4000
base,11.3333,8.1667,2.1667,4.1667,80.6667,76.5,2.5,3.8333,2.0,5.3333,33.8333,35.5,60.0,50.5,60.0,53.1667
base std,1.9664,2.3166,0.4082,1.8348,2.7325,2.1679,0.5477,0.4082,1.0954,1.2111,2.9944,2.1679,5.5136,5.244,4.1473,1.169
base num,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
ILS-CSL,4.0,2.6667,1.1667,2.6667,79.1667,75.8333,1.1667,3.8333,1.0,4.5,26.1667,24.1667,56.6667,47.3333,46.8333,41.0
ILS-CSL std,1.0954,0.5164,1.472,2.6583,6.7946,11.3915,0.7528,0.4082,0.0,1.3784,4.4008,0.7528,4.8028,3.6148,1.169,1.5492
ILS-CSL num,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
