,alarm-1000,alarm-4000,asia-1000,asia-250,barley-2000,barley-8000,cancer-1000,cancer-250,child-2000,child-500,insurance-2000,insurance-500,mildew-32000,mildew-8000,water-1000,water-4000
exist prior num,13.0,4.0,2.3333,3.6667,4.0,3.0,1.3333,1.0,3.0,5.5,10.0,7.6667,11.6667,7.6667,6.1667,5.0
exist prior std,3.7417,0.8944,0.5164,3.0768,1.0,1.5492,0.5774,,0.8944,1.8708,3.1623,3.0768,2.3381,0.5164,2.7869,0.6325
wrong exist num,1.0,0.1667,0.1667,1.1667,0.0,0.3333,0.0,0.0,0.0,0.5,0.3333,0.8333,1.8333,0.0,0.0,0.0
forb prior num,2.0,0.3333,0.3333,1.6667,0.0,0.0,0.0,0.0,1.6667,3.6667,3.0,3.6667,14.0,7.6667,8.3333,10.0
forb prior std,1.7889,0.8165,0.8165,1.9664,0.0,0.0,0.0,,0.8165,1.5055,1.0954,2.3381,2.5298,1.5055,4.4572,3.5777
wrong forb num,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333,1.3333,1.0,0.6667,0.0,0.0,0.0,0.0
