LLM,alarm-1000,alarm-4000,asia-1000,asia-250,barley-2000,barley-8000,cancer-1000,cancer-250,child-2000,child-500,insurance-2000,insurance-500,mildew-32000,mildew-8000,water-1000,water-4000
base,29.8333,29.5,1.8333,4.5,67.0,54.6667,1.3333,2.3333,12.1667,14.1667,36.3333,37.6667,45.6667,36.5,63.6667,54.6667
base std,5.5287,4.3243,1.3292,2.1679,5.4406,4.8854,1.0328,0.5164,4.5789,3.0605,3.8297,3.2042,3.266,4.8888,5.7504,4.1793
base num,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
ILS-CSL,5.6667,3.8333,1.1667,3.6667,58.0,47.6667,1.1667,2.0,2.5,6.0,18.0,24.3333,10.3333,21.3333,50.5,44.0
ILS-CSL std,1.0328,0.4082,1.169,2.6583,5.1769,5.2789,1.169,0.8944,0.5477,1.6733,2.3664,3.9328,0.8165,0.5164,3.2094,1.6733
ILS-CSL num,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
