LLM,alarm-1000,alarm-4000,asia-1000,asia-250,barley-2000,barley-8000,cancer-1000,cancer-250,child-2000,child-500,insurance-2000,insurance-500,mildew-32000,mildew-8000,water-1000,water-4000
base,0.2355,0.1848,0.2708,0.5833,0.9583,0.9563,0.625,0.75,0.0933,0.2533,0.6058,0.6891,1.3043,1.1957,0.8838,0.8131
base std,0.0465,0.0579,0.051,0.2923,0.0697,0.0957,0.1369,,0.0413,0.0327,0.1468,0.0373,0.1175,0.0953,0.0788,0.0403
base num,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
ILS-CSL,0.0797,0.0616,0.1458,0.2292,0.8988,0.8254,0.3333,0.75,0.04,0.1667,0.4679,0.4744,1.2572,1.0072,0.702,0.6338
ILS-CSL std,0.0112,0.0089,0.184,0.0941,0.0582,0.0642,0.2041,,0.0,0.0468,0.1126,0.0397,0.0465,0.0749,0.0156,0.0351
ILS-CSL num,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
