,alarm-1000,alarm-4000,asia-1000,asia-250,barley-2000,barley-8000,cancer-1000,cancer-250,child-2000,child-500,insurance-2000,insurance-500,mildew-32000,mildew-8000,water-1000,water-4000
exist prior num,16.0,6.1667,2.1667,3.5,3.8,2.5,1.3333,1.0,3.0,5.8333,8.6667,7.3333,20.3333,11.3333,6.1667,5.0
exist prior std,4.98,2.7142,1.169,2.51,0.8367,0.5477,0.5774,,0.8944,1.7224,2.3381,3.266,1.7512,0.8165,2.2286,0.6325
wrong exist num,2.1667,0.5,0.1667,1.0,0.0,0.1667,0.0,0.0,0.0,0.5,0.5,0.8333,4.0,0.0,0.0,0.0
forb prior num,3.0,2.0,0.3333,1.3333,0.0,0.0,0.0,0.0,1.6667,3.3333,4.3333,4.0,27.3333,18.0,8.0,10.6667
forb prior std,1.0954,1.7889,0.8165,1.633,0.0,0.0,0.0,,0.8165,1.633,0.8165,2.1909,2.0656,0.0,4.1952,3.266
wrong forb num,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333,1.1667,1.0,0.6667,0.0,0.0,0.0,0.0
