,alarm-1000,alarm-4000,asia-1000,asia-250,barley-2000,barley-8000,cancer-1000,cancer-250,child-2000,child-500,insurance-2000,insurance-500,mildew-32000,mildew-8000,water-1000,water-4000
exist prior num,4.3333,1.0,2.3333,3.8,1.0,3.6667,1.5,2.0,2.8333,5.1667,2.0,2.3333,11.1667,3.8333,2.6667,2.5
exist prior std,1.7512,0.8944,1.2111,2.5884,0.0,0.8165,0.7071,0.0,0.7528,3.7639,1.0954,1.2111,1.169,0.4082,1.2111,1.6432
wrong exist num,0.6667,0.0,0.1667,1.6,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.3333,0.0,0.5,0.0
forb prior num,12.6667,6.3333,0.6667,3.6,0.0,0.0,0.0,0.0,1.3333,3.3333,4.3333,7.3333,11.3333,2.0,11.0,3.6667
forb prior std,6.2823,5.2789,1.633,1.6733,0.0,0.0,0.0,0.0,1.0328,1.0328,1.9664,2.7325,2.0656,0.0,7.2388,1.9664
wrong forb num,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.8333,0.1667,0.0,0.1667,0.1667
