LLM,alarm-1000,alarm-4000,asia-1000,asia-250,barley-2000,barley-8000,cancer-1000,cancer-250,child-2000,child-500,insurance-2000,insurance-500,mildew-32000,mildew-8000,water-1000,water-4000
base,0.6812,0.5906,0.3125,0.4792,0.8651,0.8016,0.625,0.9167,0.38,0.5267,0.7212,0.7628,0.9058,0.8986,0.7626,0.7045
base std,0.0508,0.0957,0.2932,0.3572,0.048,0.0847,0.3446,0.2887,0.1615,0.0734,0.0605,0.0481,0.1295,0.0578,0.0379,0.0283
base num,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
ILS-CSL,0.2174,0.1159,0.1875,0.3333,0.756,0.6885,0.4167,0.9167,0.0733,0.26,0.4103,0.5994,0.4565,0.5833,0.6919,0.6061
ILS-CSL std,0.0389,0.0355,0.1723,0.2458,0.0164,0.0609,0.3416,0.2887,0.0301,0.0748,0.0263,0.0283,0.0364,0.0089,0.0228,0.0318
ILS-CSL num,6.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
