iter,prior_num,wrong_prior
1,14,2
2,15,3
3,15,3
1,12,1
2,14,1
3,16,1
4,16,1
1,16,1
2,21,1
3,22,2
4,22,2
1,13,2
2,19,3
3,19,3
1,10,0
2,18,0
3,20,0
4,20,0
1,11,1
2,17,1
3,18,1
4,18,1
1,15,2
2,19,3
3,20,3
4,20,3
1,15,2
2,17,3
3,17,3
1,13,1
2,14,1
3,14,1
1,16,2
2,20,3
3,20,3
1,10,2
2,15,3
3,15,3
1,13,3
2,16,3
3,16,3
