iter,prior_num,wrong_prior
1,1,0
2,2,0
3,2,0
1,5,1
2,11,1
3,12,2
4,12,2
1,1,0
2,1,0
1,1,0
2,1,0
1,2,2
2,6,3
3,10,4
4,11,4
5,11,4
1,1,1
2,5,1
3,5,1
1,1,1
2,5,1
3,5,1
1,1,0
2,2,0
3,2,0
1,1,0
2,2,0
3,2,0
1,1,0
2,2,0
3,2,0
1,1,0
2,2,0
3,2,0
1,2,0
2,3,0
3,3,0
