iter,prior_num,wrong_prior
1,6,0
2,10,0
3,10,0
1,6,1
2,9,1
3,10,1
4,12,2
5,12,2
1,10,1
2,11,2
3,12,2
4,12,2
1,10,3
2,11,4
3,11,4
1,5,1
2,7,2
3,7,2
1,5,0
2,7,0
3,9,1
4,9,1
1,9,1
2,9,1
1,8,1
2,8,1
1,5,1
2,5,1
1,5,1
2,5,1
1,8,1
2,8,1
1,11,2
2,11,2
