iter,prior_num,wrong_prior
1,6,0
2,8,0
3,8,0
1,6,0
2,8,0
3,8,0
1,5,0
2,7,0
3,12,0
4,12,0
1,5,0
2,8,0
3,8,0
1,4,0
2,8,0
3,13,0
4,17,0
5,17,0
1,6,0
2,8,0
3,8,0
1,22,1
2,30,4
3,50,5
1,18,0
2,22,0
3,24,1
4,24,1
1,16,1
2,23,3
3,23,3
1,11,0
2,18,1
3,27,2
4,27,2
1,19,1
2,27,4
3,48,4
1,19,1
2,29,2
3,32,4
4,52,5
