iter,TPR,SHD
1,0.72,0.32
2,0.76,0.28
3,0.8,0.24
1,0.76,0.24
2,0.8,0.2
3,0.8,0.2
4,0.8,0.2
5,0.76,0.24
6,0.72,0.28
7,0.8,0.2
1,0.6,0.44
2,0.76,0.28
3,0.76,0.28
4,0.72,0.32
5,0.72,0.32
6,0.8,0.24
1,0.68,0.44
2,0.64,0.44
3,0.68,0.4
4,0.72,0.4
5,0.76,0.36
1,0.6,0.4
2,0.72,0.28
3,0.76,0.24
1,0.6,0.44
2,0.68,0.32
3,0.8,0.2
4,0.8,0.2
1,0.8,0.2
2,0.96,0.04
1,0.84,0.16
2,0.92,0.08
1,0.72,0.28
2,0.88,0.12
1,0.84,0.2
2,0.96,0.04
1,0.8,0.2
2,0.92,0.08
1,0.76,0.24
2,0.92,0.08
