iter,TPR,SHD
1,0.2024,0.9286
2,0.2976,0.8095
3,0.2976,0.8095
1,0.2143,0.8929
2,0.2976,0.8095
3,0.2976,0.8095
1,0.2857,0.869
2,0.3095,0.8333
1,0.2976,0.8214
2,0.3214,0.8095
1,0.2619,0.881
2,0.2738,0.869
1,0.3095,0.7976
2,0.3452,0.7619
1,0.3214,0.8214
2,0.3452,0.8214
3,0.3452,0.8214
1,0.4048,0.7143
2,0.4048,0.7143
3,0.4167,0.7143
4,0.4167,0.7143
1,0.2619,0.9167
2,0.3095,0.8333
1,0.4167,0.7024
2,0.4405,0.6786
1,0.3452,0.7857
2,0.4881,0.6071
3,0.4881,0.6071
1,0.3214,0.869
2,0.369,0.7857
